ticker,start_date,end_date
AAPL,,
MSFT,,
NVDA,,
AMZN,,
META,,
AVGO,,
GOOGL,,
GOOG,,
TSLA,,
COST,,
NFLX,,
AMD,,
ADBE,,
PEP,,
CSCO,,
TMUS,,
INTU,,
AMGN,,
QCOM,,
TXN,,
BKNG,,
ISRG,,
AMAT,,
HON,,
SBUX,,
VRTX,,
GILD,,
PANW,,
MU,,
ADI,,
LRCX,,
KLAC,,
MELI,,
SNPS,,
CDNS,,
REGN,,
MDLZ,,
MAR,,
CTAS,,
ORLY,,
PYPL,,
ASML,,
PDD,,
CRWD,,
MRVL,,
WDAY,,
CSX,,
NXPI,,
ADP,,
PCAR,,
