rebalance_date,ticker,rank,momentum_score,weight,entry_price,exit_date,exit_price,stock_return
2016-08-01,AMD,1,0.21613296269311866,0.3333333333333333,6.639999866485596,2016-09-01,7.349999904632568,0.1069277187384583
2016-08-01,NVDA,2,0.12452165022711158,0.3333333333333333,1.392363429069519,2016-09-01,1.5527901649475098,0.11521901001464818
2016-08-01,MELI,3,0.07802434360239101,0.3333333333333333,152.32809448242188,2016-09-01,172.97381591796875,0.13553456114380347
2016-09-01,AMD,1,0.2337979451507275,0.3333333333333333,7.349999904632568,2016-10-03,6.949999809265137,-0.05442178238877515
2016-09-01,NVDA,2,0.12479854374922167,0.3333333333333333,1.5527901649475098,2016-10-03,1.6831116676330566,0.08392731073869997
2016-09-01,MELI,3,0.09265180487207796,0.3333333333333333,172.97381591796875,2016-10-03,185.5913848876953,0.07294496512530158
2016-10-03,AMD,1,0.167465971824695,0.3333333333333333,6.949999809265137,2016-11-01,7.090000152587891,0.020143934843871225
2016-10-03,NVDA,2,0.12161388146076137,0.3333333333333333,1.6831116676330566,2016-11-01,1.6978647708892822,0.008765374003361748
2016-10-03,MU,3,0.09478018097899492,0.3333333333333333,17.29184341430664,2016-11-01,16.560375213623047,-0.042301343075915376
2016-11-01,AMD,1,0.13424858214470295,0.3333333333333333,7.090000152587891,2016-12-01,8.390000343322754,0.18335686357642111
2016-11-01,NVDA,2,0.12850313085319734,0.3333333333333333,1.6978647708892822,2016-12-01,2.1581993103027344,0.2711255615324093
2016-11-01,MU,3,0.08451126316974912,0.3333333333333333,16.560375213623047,2016-12-01,18.023303985595703,0.08833910784637355
2016-12-01,AMD,1,0.12508876740530564,0.3333333333333333,8.390000343322754,2017-01-03,11.43000030517578,0.36233609504824793
2016-12-01,NVDA,2,0.125045206605784,0.3333333333333333,2.1581993103027344,2017-01-03,2.512071132659912,0.163966238274601
2016-12-01,MU,3,0.07698724077193685,0.3333333333333333,18.023303985595703,2017-01-03,21.992725372314453,0.22023827539562824
2017-01-03,NVDA,1,0.15029402832142427,0.3333333333333333,2.512071132659912,2017-02-01,2.806102991104126,0.11704758460914988
2017-01-03,AMD,2,0.14975558508661238,0.3333333333333333,11.43000030517578,2017-02-01,12.0600004196167,0.055118118776920744
2017-01-03,MU,3,0.08375642562510593,0.3333333333333333,21.992725372314453,2017-02-01,24.138357162475582,0.09756097772503258
2017-02-01,NVDA,1,0.11833136366890984,0.3333333333333333,2.806102991104126,2017-03-01,2.5344738960266113,-0.09679940327872139
2017-02-01,MU,2,0.10065008406853738,0.3333333333333333,24.138357162475582,2017-03-01,23.943300247192383,-0.008080786690256914
2017-02-01,CSX,3,0.09294984999143426,0.3333333333333333,13.836553573608398,2017-03-01,14.51400661468506,0.04896111141208048
2017-03-01,AMD,1,0.1323424877521156,0.3333333333333333,14.960000038146973,2017-04-03,14.640000343322754,-0.02139035387755628
2017-03-01,CSX,2,0.10062896896388529,0.3333333333333333,14.51400661468506,2017-04-03,13.74421215057373,-0.053038040049703694
2017-03-01,NVDA,3,0.09406677398024159,0.3333333333333333,2.5344738960266113,2017-04-03,2.6723062992095947,0.05438304312349329
2017-04-03,AMD,1,0.1444158753848432,0.3333333333333333,14.640000343322754,2017-05-01,13.619999885559082,-0.06967216078166893
2017-04-03,MU,2,0.08844529218443233,0.3333333333333333,27.932222366333008,2017-05-01,27.59087562561035,-0.012220536420119776
2017-04-03,NVDA,3,0.08679350266556189,0.3333333333333333,2.6723062992095947,2017-05-01,2.6294023990631104,-0.0160550084244363
2017-05-01,AMD,1,0.12237914642609955,0.3333333333333333,13.619999885559082,2017-06-01,10.93000030517578,-0.19750364192259917
2017-05-01,CSX,2,0.09595201091843099,0.3333333333333333,15.195313453674316,2017-06-01,16.160877227783203,0.06354352459082757
2017-05-01,MU,3,0.0871636320942513,0.3333333333333333,27.59087562561035,2017-06-01,29.999835968017575,0.08731003593706843
2017-06-01,TSLA,1,0.10450820731207792,0.3333333333333333,22.691333770751953,2017-07-03,23.507999420166016,0.0359902003850785
2017-06-01,MELI,2,0.10048621871025841,0.3333333333333333,279.9467468261719,2017-07-03,250.42156982421875,-0.10546711950286125
2017-06-01,NVDA,3,0.08792702601204604,0.3333333333333333,3.563206195831299,2017-07-03,3.439051866531372,-0.034843431021527316
2017-07-03,VRTX,1,0.09948216123325555,0.3333333333333333,128.22999572753906,2017-08-01,153.1999969482422,0.19472823873252687
2017-07-03,TSLA,2,0.09320182143736828,0.3333333333333333,23.507999420166016,2017-08-01,21.30466651916504,-0.0937269421195781
2017-07-03,MELI,3,0.08751437365038002,0.3333333333333333,250.42156982421875,2017-08-01,288.58221435546875,0.15238561341994838
