metric,strategy,qqq_buy_hold,tqqq_buy_hold
Final equity,37026781.03791302,622982.4042153064,2743567.2014935915
Total return,369.26781037913025,5.229824042153066,26.435672014935925
CAGR,0.834161335284707,0.20638157446780658,0.4044929027961466
Annualized volatility,0.5164510773299401,0.2010839100363314,0.6286671158446869
Sharpe ratio,1.4283573721459801,1.0395975583384556,0.863155288301363
Max drawdown,-0.3647922790992204,-0.3367128271735239,-0.80134673588913
Average monthly return,0.06147305863807947,0.017420528491243314,0.045219778801875596
Median monthly return,0.035963662127853104,0.02076729663222676,0.05095036623888882
Best month,0.6073039125207716,0.16691333891675186,0.5219267270541468
Worst month,-0.23397962157975175,-0.15581490524568575,-0.523140203926179
