rebalance_date,ticker,momentum_score,rank,weight,holding_status
2026-05-01,SNDK,0.4065421743552295,1,0.3333333333333333,open
2026-05-01,WDC,0.2145329845459529,2,0.3333333333333333,open
2026-05-01,INTC,0.2122263476501586,3,0.3333333333333333,open
