rebalance_date,ticker,momentum_score,rank,weight
2026-06-01,SNDK,0.4550751916965065,1,0.3333333333333333
2026-06-01,INTC,0.2715216516839631,2,0.3333333333333333
2026-06-01,MU,0.25720793383680013,3,0.3333333333333333
