rebalance_date,next_rebalance_date,portfolio_return_gross,transaction_cost,slippage_cost,portfolio_return_net,qqq_return,tqqq_return,excess_return,portfolio_value,qqq_value,tqqq_value,turnover
2016-08-01,2016-09-01,0.047642879885807954,0.0,0.0,0.047642879885807954,0.007769318952547177,0.018521640518497806,0.03987356093326078,104764.28798858079,100776.93189525472,101852.16405184977,1.0
2016-09-01,2016-10-03,0.02917785836616401,0.0,0.0,0.02917785836616401,0.018048560165854877,0.05095046458841668,0.011129298200309133,107821.08554534361,102595.81041389647,107041.57912962715,0.6666666666666666
2016-10-03,2016-11-01,-0.004464011409560801,0.0,0.0,-0.004464011409560801,-0.0205818846072785,-0.0636008928424372,0.0161178731977177,107339.77098927797,100484.19528276744,100233.63912571846,0.6666666666666666
2016-11-01,2016-12-01,0.19500265129410527,0.0,0.0,0.19500265129410527,-0.0055121878625917775,-0.024471427382170785,0.20051483915669704,128271.31092148925,99930.30752114746,97780.77890460273,0.6666666666666666
2016-12-01,2017-01-03,0.1943164383913547,0.0,0.0,0.1943164383913547,0.038308914547241724,0.11186007215787441,0.15600752384411298,153196.53520754311,103758.52913265472,108718.54388852477,0.0
2017-01-03,2017-02-01,0.10080109875806165,0.0,0.0,0.10080109875806165,0.04927192250510304,0.15171512174842605,0.05152917625295861,168638.91428239155,108870.91133932234,125212.7910108839,0.0
2017-02-01,2017-03-01,-0.03849715548077333,0.0,0.0,-0.03849715548077333,0.04791552785988995,0.1487206006389339,-0.08641268334066328,162146.7957791535,114087.51852473324,143834.51249769982,1.3333333333333333
2017-03-01,2017-04-03,-0.0063681027832148684,0.0,0.0,-0.0063681027832148684,0.00863638995649274,0.02111369410427555,-0.015004492739707609,161114.2283176629,115072.82282388143,146871.39039621386,1.3333333333333333
2017-04-03,2017-05-01,-0.03264923520874167,0.0,0.0,-0.03264923520874167,0.037036864577863815,0.11031555002987625,-0.06968609978660548,155853.97198184463,119334.75937940205,163073.5886114249,1.3333333333333333
2017-05-01,2017-06-01,0.025154206539098355,0.0,0.0,0.025154206539098355,0.03381918562374442,0.09996958751991225,-0.008664979084646064,159774.3549830148,123370.56375821891,179375.98800030092,1.3333333333333333
